fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
marcio alexandre jr.,tim means,25.0,30.0,73.0,74.0,0.7798512767575119,0.7514958863126402,0.847999030848203,1.2741937582224652,0.7440580190442426,0.900732763604033,0.8,0.7368421052631579,20,38,-1
rin nakai,miesha tate,28.0,28.0,61.0,66.0,0.9098388522472292,0.7244721593929946,0.6958320965812744,1.2741937582224652,0.7479316717432264,0.9340826698197278,0.9090909090909092,0.72,22,25,-1
stipe miocic,gabriel gonzaga,32.0,35.0,76.0,74.0,0.7262921702161161,0.6056921053310294,1.2741937582224652,0.847999030848203,0.9340826698197278,0.7479316717432264,0.8571428571428571,0.5862068965517241,21,29,1
olivier aubin-mercier,carlos diego ferreira,27.0,31.0,69.0,68.0,0.7340812764896534,0.8757479431563201,0.7306421727422159,0.847999030848203,0.7479316717432264,0.8781995850704947,0.7333333333333333,0.875,15,16,-1
tim means,hernani perpetuo,30.0,29.0,74.0,72.0,0.7514958863126402,0.7852620888885841,1.2741937582224652,0.847999030848203,0.900732763604033,0.8781995850704947,0.7368421052631579,0.7307692307692307,38,26,1
chan sung jung,leonard garcia,24.0,32.0,69.0,69.0,0.7375900484194781,0.732425597049973,0.7247327880848613,1.2741937582224652,0.7468919244703861,0.7274917254889377,0.7368421052631579,0.5806451612903226,19,31,1
thiago tavares,shane roller,27.0,32.0,67.0,70.0,0.7798512767575119,0.7180254300673149,0.847999030848203,1.2741937582224652,0.8781995850704947,0.9340826698197278,0.6875,0.6111111111111112,32,18,-1
marcus davis,pete spratt,34.0,36.0,68.0,69.0,0.6604716775702262,0.5109520247889732,1.2741937582224652,1.2741937582224652,0.7274917254889377,0.7440580190442426,0.6666666666666666,0.5102040816326531,33,49,1
sheila gaff,amanda nunes,24.0,25.0,65.0,65.0,0.5632479431563201,0.7357881938413439,0.7148740185764869,0.847999030848203,0.900732763604033,0.7274917254889377,0.5625,0.8,16,20,-1
ruslan magomedov,shawn jordan,29.0,31.0,75.0,72.0,0.9014958863126402,0.7357881938413439,0.8398920709044124,1.2741937582224652,0.7461020623994898,0.9340826698197278,0.9333333333333332,0.6785714285714286,15,28,1
andre roberts,harry moskowitz,33.0,30.0,74.0,77.0,,,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.6457304203132154,0.875,0.3333333333333333,16,18,1
joe riggs,diego sanchez,24.0,25.0,72.0,70.0,0.7014824401435379,0.732425597049973,1.2741937582224652,1.2741937582224652,0.7274917254889377,0.9340826698197278,0.7230769230769231,0.7179487179487181,65,39,-1
aljamain sterling,hugo viana,25.0,32.0,67.0,66.0,0.6831488995812697,0.7066954763289842,1.2741937582224652,0.847999030848203,0.9340826698197278,0.6862989651458709,0.8421052631578947,0.6666666666666666,19,12,1
alan belcher,patrick cote,26.0,30.0,74.0,71.0,0.7195520012273939,0.6772185313916143,1.2741937582224652,0.7306421727422159,0.7468919244703861,0.7274917254889377,0.6923076923076923,0.6764705882352942,26,34,1
takanori gomi,clay guida,33.0,30.0,68.0,67.0,0.7066302960974966,0.732425597049973,0.6958320965812744,1.2741937582224652,0.7274917254889377,0.9340826698197278,0.7058823529411765,0.6538461538461539,51,52,-1
t.j. dillashaw,issei tamura,27.0,29.0,66.0,65.0,0.7427178000225407,0.6681625529793068,1.2741937582224652,0.6958320965812744,0.9340826698197278,0.6308537060836666,0.8421052631578947,0.5714285714285714,19,21,1
gleison tibau,josh neer,26.0,26.0,70.0,71.0,0.7357881938413439,0.6976502119172276,0.847999030848203,1.2741937582224652,0.8781995850704947,0.9340826698197278,0.7083333333333334,0.6923076923076923,48,52,1
francisco rivera,edwin figueroa,32.0,29.0,68.0,67.0,0.6443530291697831,0.6779664745479344,1.2741937582224652,1.2741937582224652,0.900732763604033,0.7468919244703861,0.6111111111111112,0.6428571428571429,18,14,1
renan barao,cole escovedo,24.0,30.0,67.0,67.0,0.7852620888885841,0.654594097002474,0.847999030848203,1.2741937582224652,0.8781995850704947,0.7440580190442426,0.8292682926829268,0.6538461538461539,41,26,1
cain velasquez,junior dos santos,29.0,27.0,73.0,76.0,0.7161473349170837,0.7066954763289842,1.2741937582224652,0.847999030848203,0.9340826698197278,0.8781995850704947,0.875,0.8,16,25,-1
charles mccarthy,michael bisping,28.0,29.0,70.0,74.0,0.7357881938413439,0.7699787123870894,1.2741937582224652,0.7161993241395903,0.8781995850704947,0.7289114492815056,0.6666666666666666,0.7692307692307693,15,39,-1
joe doerksen,matt lindland,28.0,35.0,72.0,72.0,0.7619419730070663,0.6741460982298678,0.7306421727422159,1.2741937582224652,0.8781995850704947,0.9340826698197278,0.7611940298507462,0.7096774193548387,67,31,-1
ildemar alcantara,wagner prado,31.0,26.0,74.0,73.0,0.7243874525777004,0.8340812764896535,0.847999030848203,0.847999030848203,0.8781995850704947,0.7461020623994898,0.6578947368421053,0.8333333333333334,38,18,1
duane ludwig,jim miller,32.0,27.0,70.0,68.0,0.6629740350259696,0.6879581151832461,1.2741937582224652,1.2741937582224652,0.7461020623994898,0.9340826698197278,0.6,0.6904761904761905,35,42,-1
