pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/UFC-Fight-Night-62-Maia-vs-LaFlare-42185,42185,9,UFC Fight Night 62 - Maia vs. LaFlare,Ultimate Fighting Championship,3/21/2015,"Maracanazinho Gymnasium, Rio de Janeiro, Brazil, Brazil",/fighter/Amanda-Nunes-31496,/fighter/Shayna-Baszler-12116,Amanda Nunes,Shayna Baszler,win,loss,31496,12116,TKO,Leg Kick,Mario Yamasaki,1,1:56
/events/UFC-81-Breaking-Point-6038,6038,3,UFC 81 - Breaking Point,Ultimate Fighting Championship,2/2/2008,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Tim-Boetsch-19544,/fighter/David-Heath-11483,Tim Boetsch,David Heath,win,loss,19544,11483,TKO,Slam and Punches,Herb Dean,1,4:52
/events/UFC-152-Jones-vs-Belfort-21045,21045,5,UFC 152 - Jones vs. Belfort,Ultimate Fighting Championship,9/22/2012,"Air Canada Centre, Toronto, Ontario, Canada",/fighter/Sean-Pierson-573,/fighter/Lance-Benoist-59764,Sean Pierson,Lance Benoist,win,loss,573,59764,Decision,Unanimous,Josh Rosenthal,3,5:00
/events/UFC-The-Ultimate-Fighter-18-Finale-32325,32325,7,UFC - The Ultimate Fighter 18 Finale,Ultimate Fighting Championship,11/30/2013,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",/fighter/Peggy-Morgan-91565,/fighter/Jessamyn-Duke-71307,Peggy Morgan,Jessamyn Duke,loss,win,91565,71307,Decision,Unanimous,Kim Winslow,3,5:00
/events/UFC-Fight-Night-74-Holloway-vs-Oliveira-42225,42225,12,UFC Fight Night 74 - Holloway vs. Oliveira,Ultimate Fighting Championship,8/23/2015,"SaskTel Centre, Saskatoon, Saskatchewan, Canada",/fighter/Max-Holloway-38671,/fighter/Charles-Oliveira-30300,Max Holloway,Charles Oliveira,win,loss,38671,30300,TKO,Esophagus Injury,Herb Dean,1,1:39
/events/UFC-173-Barao-vs-Dillashaw-35617,35617,9,UFC 173 - Barao vs. Dillashaw,Ultimate Fighting Championship,5/24/2014,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Takeya-Mizugaki-12074,/fighter/Francisco-Rivera-11908,Takeya Mizugaki,Francisco Rivera,win,loss,12074,11908,Decision,Unanimous,Yves Lavigne,3,5:00
/events/UFC-Live-5-Hardy-vs-Lytle-16967,16967,3,UFC Live 5 - Hardy vs. Lytle,Ultimate Fighting Championship,8/14/2011,"Bradley Center, Milwaukee, Wisconsin, United States",/fighter/TJ-OBrien-22127,/fighter/Cole-Miller-13133,T.J. O'Brien,Cole Miller,loss,win,22127,13133,Submission,Guillotine Choke,Josh Rosenthal,2,2:38
/events/UFC-The-Ultimate-Fighter-China-Finale-34819,34819,6,UFC - The Ultimate Fighter China Finale,Ultimate Fighting Championship,3/1/2014,"Cotai Arena, Macau, China, China",/fighter/Shawn-Jordan-45624,/fighter/Matt-Mitrione-49519,Shawn Jordan,Matt Mitrione,loss,win,45624,49519,KO,Punches,Dan Miragliotta,1,4:59
/events/UFC-152-Jones-vs-Belfort-21045,21045,2,UFC 152 - Jones vs. Belfort,Ultimate Fighting Championship,9/22/2012,"Air Canada Centre, Toronto, Ontario, Canada",/fighter/Walel-Watson-36403,/fighter/Mitch-Gagnon-37404,Walel Watson,Mitch Gagnon,loss,win,36403,37404,Submission,Rear-Naked Choke,Josh Rosenthal,1,1:09
/events/UFC-on-FX-Guillard-vs-Miller-19068,19068,10,UFC on FX - Guillard vs. Miller,Ultimate Fighting Championship,1/20/2012,"Bridgestone Arena, Nashville, Tennessee, United States",/fighter/Jim-Miller-14463,/fighter/Melvin-Guillard-7431,Jim Miller,Melvin Guillard,win,loss,14463,7431,Submission,Rear-Naked Choke,Herb Dean,1,3:04
/events/UFC-2-No-Way-Out-8,8,8,UFC 2 - No Way Out,Ultimate Fighting Championship,3/11/1994,"Fillmore Auditorium, Denver, Colorado, United States",/fighter/Minoki-Ichihara-35,/fighter/Royce-Gracie-19,Minoki Ichihara,Royce Gracie,loss,win,35,19,Submission,Lapel Choke,John McCarthy,1,5:08
/events/UFC-45-Revolution-1863,1863,4,UFC 45 - Revolution,Ultimate Fighting Championship,11/21/2003,"Mohegan Sun Arena, Uncasville, Conneticut, United States",/fighter/Chris-Lytle-267,/fighter/Robbie-Lawler-2245,Chris Lytle,Robbie Lawler,loss,win,267,2245,Decision,Unanimous,,3,5:00
/events/UFC-97-Redemption-9432,9432,2,UFC 97 - Redemption,Ultimate Fighting Championship,4/18/2009,"Bell Centre, Montreal, Quebec, Canada",/fighter/Ryo-Chonan-1831,/fighter/TJ-Grant-15906,Ryo Chonan,T.J. Grant,loss,win,1831,15906,Decision,Split,Philippe Chartier,3,5:00
/events/UFC-The-Ultimate-Fighter-7-Finale-6954,6954,7,UFC - The Ultimate Fighter 7 Finale,Ultimate Fighting Championship,6/21/2008,"Palms Casino Resort, Las Vegas, Nevada, United States",/fighter/Spencer-Fisher-5118,/fighter/Jeremy-Stephens-12179,Spencer Fisher,Jeremy Stephens,win,loss,5118,12179,Decision,Unanimous,Steve Mazzagatti,3,5:00
