fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
sean sherk,evan dunham,37.0,29,66.0,70.0,0.7537397157816006,0.7244721593929946,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.9,0.6923076923076923,40,26,1
costas philippou,luke rockhold,35.0,30,71.0,75.0,0.6632607786215028,0.7161473349170837,1.274193758222465,1.274193758222465,0.7274917254889377,0.9340826698197278,0.7222222222222222,0.8,18,20,-1
christos giagos,gilbert burns,24.0,28,70.0,70.0,0.6964001170693636,0.7263644380937496,1.274193758222465,0.847999030848203,0.9340826698197278,0.8781995850704947,0.6956521739130435,0.8235294117647058,23,17,-1
max holloway,dennis bermudez,22.0,27,71.0,66.0,0.839333724150478,0.7157816005983545,1.274193758222465,1.274193758222465,0.7468919244703861,0.9340826698197278,0.8695652173913043,0.64,23,25,-1
george roop,francisco rivera,32.0,32,73.0,68.0,0.6503919776171085,0.6443530291697831,1.274193758222465,1.274193758222465,0.6862989651458709,0.900732763604033,0.5357142857142857,0.6111111111111112,28,18,-1
dustin pague,ken stone,25.0,30,69.0,68.0,0.5224870735911027,0.7357881938413439,1.274193758222465,1.274193758222465,0.7274917254889377,0.9340826698197278,0.5217391304347826,0.7333333333333333,23,15,-1
jon jones,glover teixeira,27.0,35,76.0,74.0,0.732425597049973,0.785262088888584,1.274193758222465,0.847999030848203,0.9340826698197278,0.7274917254889377,0.9565217391304348,0.7941176470588235,23,34,1
andrew craig,rafael natal,26.0,30,73.0,72.0,0.6930556354640124,0.7084598237200639,1.274193758222465,0.847999030848203,0.8781995850704947,0.8781995850704947,0.6923076923076923,0.7,13,30,1
tecia torres,angela magana,25.0,31,61.0,64.0,0.7357881938413439,0.640384775201529,1.274193758222465,1.274193758222465,0.6862989651458709,0.900732763604033,0.7692307692307693,0.5238095238095238,13,21,1
joe stevenson,javier vazquez,29.0,34,67.0,67.0,0.6742173309114221,0.7287686135853675,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.6734693877551021,0.7619047619047619,49,21,-1
brad pickett,renan barao,33.0,24,66.0,67.0,0.7357881938413439,0.785262088888584,0.7161993241395903,0.847999030848203,0.7274917254889377,0.8781995850704947,0.6410256410256411,0.8292682926829268,39,41,-1
brad pickett,damacio page,34.0,30,66.0,66.0,0.7357881938413439,0.732425597049973,0.7161993241395903,1.274193758222465,0.7274917254889377,0.7440580190442426,0.6410256410256411,0.6666666666666666,39,30,1
yushin okami,rich franklin,26.0,33,74.0,73.0,0.7454287942201498,0.7095609026396921,0.6958320965812744,1.274193758222465,0.900732763604033,0.7440580190442426,0.7446808510638298,0.8055555555555556,47,36,-1
assuerio silva,cheick kongo,33.0,32,73.0,76.0,0.0,0.7443376867460637,0.847999030848203,0.6501953683407987,0.8781995850704947,0.7440580190442426,0.6666666666666666,0.7435897435897436,24,39,-1
ronaldo souza,gegard mousasi,35.0,29,72.0,73.0,0.7660347977488137,0.8831008843327907,0.847999030848203,0.7460416873660454,0.8781995850704947,0.7479316717432264,0.8125,0.8823529411764706,32,51,1
frank mir,ian freeman,23.0,32,75.0,71.0,0.6224969940259224,0.7414886838970608,1.274193758222465,0.7161993241395903,0.7440580190442426,0.7274917254889377,0.5806451612903226,0.7407407407407407,31,27,-1
spencer fisher,shannon gugerty,32.0,27,67.0,70.0,0.0,0.7088679209098058,1.274193758222465,1.274193758222465,0.7440580190442426,0.7274917254889377,0.7272727272727273,0.6818181818181818,33,22,1
colin robinson,eddie sanchez,39.0,25,76.0,75.0,0.0,0.7405818210447584,0.6905450194309434,1.274193758222465,0.7274917254889377,0.900732763604033,0.4545454545454545,0.6521739130434783,22,23,-1
francisco trinaldo,delson heleno,34.0,35,68.0,71.0,0.7714164834583682,0.7434203000571957,0.847999030848203,0.847999030848203,0.7468919244703861,0.8781995850704947,0.7931034482758621,0.7317073170731707,29,41,1
jessica andrade,raquel pennington,23.0,26,62.0,67.0,0.7607479431563201,0.5632479431563201,0.847999030848203,1.274193758222465,0.6733890204809293,0.900732763604033,0.76,0.5625,25,16,1
konstantin erokhin,viktor pesta,33.0,25,71.0,75.0,0.0,0.7229701653785423,0.8398920709044124,0.7839429184673841,0.900732763604033,0.7228792524456125,0.6923076923076923,0.7222222222222222,13,18,-1
mauricio rua,antonio rogerio nogueira,34.0,39,73.0,74.0,0.7034506458590228,0.757723951441229,0.847999030848203,0.847999030848203,0.8781995850704947,0.7479316717432264,0.7027027027027027,0.7419354838709677,37,31,1
abel trujillo,marcus levesseur,29.0,29,68.0,70.0,0.7263644380937496,0.7593686328114925,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.6521739130434783,0.7586206896551724,23,29,1
diego sanchez,joe stevenson,28.0,27,70.0,67.0,0.732425597049973,0.6742173309114221,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.7179487179487181,0.6734693877551021,39,49,1
kris rotharmel,rob macdonald,,0,72.0,75.0,0.0,0.5563034987118757,1.274193758222465,0.7306421727422159,0.7289114492815056,0.9340826698197278,0.5714285714285714,0.5555555555555556,7,9,-1
kevin burns,t.j. grant,29.0,25,72.0,70.0,0.6629740350259696,0.7921935607312448,1.274193758222465,0.7306421727422159,0.6862989651458709,0.8781995850704947,0.631578947368421,0.8076923076923077,19,26,-1
magnus cedenblad,francis carmont,30.0,31,75.0,72.0,0.763300118223273,0.7084598237200639,0.7296460731164326,1.274193758222465,0.7292438179428982,0.8781995850704947,0.7368421052631579,0.6756756756756757,19,37,-1
ronaldo souza,chris camozzi,36.0,29,72.0,75.0,0.7660347977488137,0.6948292196459736,0.847999030848203,1.274193758222465,0.8781995850704947,0.9340826698197278,0.8125,0.6486486486486487,32,37,1
diego sanchez,myles jury,33.0,26,70.0,71.0,0.732425597049973,0.7590893336008903,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.7179487179487181,0.85,39,20,-1
brian stann,chris leben,31.0,31,73.0,71.0,0.732425597049973,0.7052038054769673,1.274193758222465,1.274193758222465,0.6673236968900569,0.9340826698197278,0.6666666666666666,0.6666666666666666,18,33,1
gary goodridge,paul herrera,,0,75.0,,0.5118590542674312,0.5007479431563201,0.7306421727422159,1.274193758222465,0.7468919244703861,0.9340826698197278,0.5111111111111111,0.5,45,2,1
justin salas,joe proctor,32.0,29,68.0,70.0,0.6629740350259696,0.6882479431563201,1.274193758222465,1.274193758222465,0.9340826698197278,0.8781995850704947,0.631578947368421,0.6875,19,16,-1
justin james,clay guida,,25,70.0,67.0,0.0,0.732425597049973,1.274193758222465,1.274193758222465,0.900732763604033,0.9340826698197278,0.65,0.6538461538461539,20,52,-1
trevor smith,tor troeng,33.0,31,75.0,74.0,0.6257479431563201,0.7120222021021139,1.274193758222465,0.7296460731164326,0.9340826698197278,0.8781995850704947,0.625,0.6956521739130435,24,23,1
alexander gustafsson,daniel cormier,28.0,36,76.0,71.0,0.763300118223273,0.7161473349170837,0.7296460731164326,1.274193758222465,0.7274917254889377,0.9340826698197278,0.8181818181818182,0.9565217391304348,22,23,-1
rick story,thiago alves,27.0,28,70.0,70.0,0.7014824401435379,0.7357881938413439,1.274193758222465,0.847999030848203,0.9340826698197278,0.7461020623994898,0.6774193548387096,0.6285714285714286,31,35,1
matt hamill,roger hollett,36.0,34,74.0,70.0,0.0,0.7229701653785423,1.274193758222465,0.7306421727422159,0.9340826698197278,0.7468919244703861,0.6190476190476191,0.7222222222222222,21,18,1
ernest chavez,yosdenis cedeno,31.0,29,68.0,68.0,0.8340812764896535,0.6257479431563201,1.274193758222465,0.7388434394859731,0.900732763604033,0.7440580190442426,0.8333333333333334,0.625,12,16,1
paulo thiago,jon fitch,28.0,31,71.0,72.0,0.7660347977488137,0.7161473349170837,0.847999030848203,1.274193758222465,0.7479316717432264,0.9340826698197278,0.6428571428571429,0.8157894736842105,28,38,-1
sergio pettis,alex caceres,21.0,26,66.0,69.0,0.7195520012273939,0.7014824401435379,1.274193758222465,1.274193758222465,0.6862989651458709,0.6457304203132154,0.7727272727272727,0.56,22,25,-1
robbie lawler,rory macdonald,33.0,26,71.0,71.0,0.7357881938413439,0.7516312898150775,1.274193758222465,0.7306421727422159,0.9340826698197278,0.900732763604033,0.7,0.8,40,25,1
bristol marunde,clint hester,31.0,27,73.0,74.0,0.6401976238650484,0.6478067666857319,1.274193758222465,1.274193758222465,0.9340826698197278,0.6457304203132154,0.6153846153846154,0.6470588235294118,26,17,-1
dustin ortiz,john moraga,26.0,30,65.0,66.0,0.7195520012273939,0.667397764256403,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.7307692307692307,0.7307692307692307,26,26,-1
demian maia,rory macdonald,37.0,25,72.0,71.0,0.725633817347123,0.7516312898150775,0.847999030848203,0.7306421727422159,0.8781995850704947,0.900732763604033,0.7352941176470589,0.8,34,25,-1
maiquel falcao,gerald harris,29.0,31,71.0,71.0,0.7507479431563201,0.7819979431563201,0.847999030848203,1.274193758222465,0.7461020623994898,0.9340826698197278,0.75,0.78125,52,32,1
