pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-119-mir-vs-cro-cop-13732,13732,8,ufc 119 - mir vs. cro cop,ultimate fighting championship,9/25/2010,"conseco fieldhouse, indianapolis, indiana, united states",/fighter/sean-sherk-277,/fighter/evan-dunham-22038,sean sherk,evan dunham,win,loss,277,22038,decision,split,rob hinds,3,5:00
/events/ufc-fight-night-35-rockhold-vs-philippou-33929,33929,12,ufc fight night 35 - rockhold vs. philippou,ultimate fighting championship,1/15/2014,"the arena at gwinnett center, duluth, georgia, united states",/fighter/costas-philippou-32432,/fighter/luke-rockhold-23345,costas philippou,luke rockhold,loss,win,32432,23345,ko,kick to the body,herb dean,1,2:31
/events/ufc-179-aldo-vs-mendes-2-37749,37749,2,ufc 179 - aldo vs. mendes 2,ultimate fighting championship,10/25/2014,"maracanazinho gymnasium, rio de janeiro, rio de janeiro, brazil",/fighter/christos-giagos-68130,/fighter/gilbert-burns-91727,christos giagos,gilbert burns,loss,win,68130,91727,submission,armbar,eduardo herdy,1,4:57
/events/ufc-160-velasquez-vs-bigfoot-2-28051,28051,6,ufc 160 - velasquez vs. bigfoot 2,ultimate fighting championship,5/25/2013,"mgm grand garden arena, las vegas, nevada, united states",/fighter/max-holloway-38671,/fighter/dennis-bermudez-58065,max holloway,dennis bermudez,loss,win,38671,58065,decision,split,herb dean,3,5:00
/events/ufc-fight-night-31-fight-for-the-troops-3-32077,32077,7,ufc fight night 31 - fight for the troops 3,ultimate fighting championship,11/6/2013,"fort campbell, hopkinsville, kentucky, united states",/fighter/george-roop-16415,/fighter/francisco-rivera-11908,george roop,francisco rivera,loss,win,16415,11908,tko,punches,mario yamasaki,2,2:20
/events/ufc-on-fx-4-maynard-vs-guida-20385,20385,1,ufc on fx 4 - maynard vs. guida,ultimate fighting championship,6/22/2012,"revel atlantic city, atlantic city, new jersey, united states",/fighter/dustin-pague-39781,/fighter/ken-stone-24913,dustin pague,ken stone,loss,win,39781,24913,decision,split,gasper oliver,3,5:00
/events/ufc-172-jones-vs-teixeira-34401,34401,10,ufc 172 - jones vs. teixeira,ultimate fighting championship,4/26/2014,"baltimore arena, baltimore, maryland, united states",/fighter/jon-jones-27944,/fighter/glover-teixeira-4655,jon jones,glover teixeira,win,loss,27944,4655,decision,unanimous,dan miragliotta,5,5:00
/events/ufc-on-fuel-tv-4-munoz-vs-weidman-21725,21725,3,ufc on fuel tv 4 - munoz vs. weidman,ultimate fighting championship,7/11/2012,"hp pavillion, san jose, california, united states",/fighter/andrew-craig-63284,/fighter/rafael-natal-13968,andrew craig,rafael natal,win,loss,63284,13968,ko,head kick,marcos rosales,2,4:52
/events/ufc-the-ultimate-fighter-20-finale-40679,40679,3,ufc - the ultimate fighter 20 finale,ultimate fighting championship,12/12/2014,"palms casino resort, las vegas, nevada, united states",/fighter/tecia-torres-85096,/fighter/angela-magana-21720,tecia torres,angela magana,win,loss,85096,21720,decision,unanimous,kim winslow,3,5:00
/events/ufc-live-4-kongo-vs-barry-16309,16309,6,ufc live 4 - kongo vs. barry,ultimate fighting championship,6/26/2011,"consol energy center, pittsburgh, pennsylvania, united states",/fighter/joe-stevenson-65,/fighter/javier-vazquez-511,joe stevenson,javier vazquez,loss,win,65,511,decision,unanimous,keith peterson,3,5:00
/events/ufc-138-leben-vs-munoz-17824,17824,9,ufc 138 - leben vs. munoz,ultimate fighting championship,11/5/2011,"lg arena, birmingham, west midlands, england",/fighter/brad-pickett-11743,/fighter/renan-barao-23156,brad pickett,renan barao,loss,win,11743,23156,submission,rear-naked choke,leon roberts,1,4:09
/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-19857,19857,7,ufc on fuel tv 2 - gustafsson vs. silva,ultimate fighting championship,4/14/2012,"ericsson globe arena, stockholm, sweden, sweden",/fighter/brad-pickett-11743,/fighter/damacio-page-12158,brad pickett,damacio page,win,loss,11743,12158,submission,rear-naked choke,marko gyllenland,2,4:05
/events/ufc-72-victory-5084,5084,8,ufc 72 - victory,ultimate fighting championship,6/16/2007,"the odyssey, belfast, northern ireland, ireland",/fighter/yushin-okami-5569,/fighter/rich-franklin-392,yushin okami,rich franklin,loss,win,5569,392,decision,unanimous,john mccarthy,3,5:00
/events/ufc-70-nations-collide-4862,4862,6,ufc 70 - nations collide,ultimate fighting championship,4/21/2007,"manchester evening news arena, manchester, lancashire, england",/fighter/assuerio-silva-1587,/fighter/cheick-kongo-2193,assuerio silva,cheick kongo,loss,win,1587,2193,decision,majority,mario yamasaki,3,5:00
/events/ufc-fight-night-50-jacare-vs-mousasi-2-38431,38431,9,ufc fight night 50 - jacare vs. mousasi 2,ultimate fighting championship,9/5/2014,"foxwoods resort casino, mashantucket, connecticut, united states",/fighter/ronaldo-souza-8394,/fighter/gegard-mousasi-7466,ronaldo souza,gegard mousasi,win,loss,8394,7466,submission,guillotine choke,herb dean,3,4:30
/events/ufc-38-brawl-at-the-hall-923,923,6,ufc 38 - brawl at the hall,ultimate fighting championship,7/13/2002,"royal albert hall, london, england, england",/fighter/frank-mir-2329,/fighter/ian-freeman-242,frank mir,ian freeman,loss,win,2329,242,tko,punches,,1,4:35
